config,energy,magnetism
0,174,-2
1,194,0
2,174,2
3,186,0
4,178,2
5,166,-4
6,186,4
7,190,0
8,174,0
9,166,4
10,182,-2
11,182,-2
12,190,-2
13,182,0
14,178,-6
15,170,-6
16,190,0
17,190,0
18,182,0
19,178,2
20,174,-4
21,182,-2
22,182,0
23,166,4
24,178,2
25,178,0
26,182,-2
27,190,0
28,174,-2
29,182,-2
30,182,0
31,190,2
32,178,-4
33,178,4
34,182,0
35,174,2
36,178,2
37,166,0
38,182,0
39,178,0
40,174,2
41,178,0
42,186,2
43,186,-2
44,178,2
45,170,0
46,166,0
47,170,-4
48,186,2
49,174,0
50,166,2
51,182,-2
52,182,0
53,174,2
54,182,-2
55,182,2
56,178,0
57,182,-2
58,186,2
59,174,0
60,178,-2
61,174,-2
62,182,-2
63,182,0
64,182,2
65,174,-2
66,178,2
67,178,-2
68,178,-2
69,178,-2
70,182,-4
71,182,-2
72,178,0
73,178,-2
74,190,2
75,186,2
76,174,-2
77,182,2
78,170,2
79,178,-2
80,186,0
81,170,4
82,178,4
83,178,-4
84,178,2
85,182,2
86,194,2
87,178,-2
88,174,-2
89,182,-2
90,182,0
91,178,0
92,174,-4
93,182,0
94,182,0
95,174,-2
96,190,0
97,190,0
98,178,0
99,182,2
100,174,-2
101,182,-2
102,174,-2
103,178,-6
104,174,0
105,190,0
106,178,2
107,182,0
108,182,2
109,182,-4
110,182,0
111,182,-2
112,178,0
113,178,-2
114,178,-6
115,182,2
116,170,0
117,174,-2
118,182,-4
119,174,2
120,178,4
121,178,0
122,174,4
123,174,-2
124,178,2
125,182,0
126,190,2
127,190,2
128,166,0
129,182,-2
130,174,0
131,182,0
132,166,-4
133,182,2
134,182,-2
135,178,-4
136,174,0
137,190,2
138,178,0
139,194,0
140,174,-4
141,186,-4
142,174,0
143,186,-2
144,182,-4
145,178,2
146,174,4
147,174,-4
148,170,-4
149,178,-2
150,178,0
151,190,0
152,190,-2
153,174,2
154,170,-4
155,190,0
156,182,0
157,166,0
158,174,-4
159,178,-2
160,182,2
161,182,-2
162,174,2
163,182,0
164,170,-4
165,186,-2
166,174,2
167,194,2
168,178,-2
169,190,0
170,182,0
171,178,0
172,186,-2
173,174,0
174,182,0
175,178,-4
176,174,2
177,178,4
178,182,2
179,182,-2
180,174,-2
181,182,-2
182,182,2
183,178,0
184,170,-2
185,170,-2
186,186,0
187,182,2
188,182,-2
189,178,0
190,182,0
191,178,-2
192,178,2
193,170,2
194,166,2
195,182,0
196,186,-2
197,170,-2
198,178,4
199,178,2
200,186,4
201,182,2
202,178,4
203,162,0
204,178,-2
205,170,-4
206,174,0
207,178,-4
208,182,2
209,174,2
210,182,-2
211,174,0
212,186,0
213,174,-2
214,182,-2
215,182,-4
216,174,-4
217,182,0
218,174,0
219,186,0
220,190,-2
221,166,0
222,166,-6
