Temperature 1e+20
config,energy,magnetism
0,-16348,-654
1,-16366,776
2,-16120,-264
3,-16476,-38
4,-16170,-772
5,-16616,-44
6,-16240,1046
7,-16326,510
8,-16190,716
9,-16328,108
10,-16068,-318
11,-16418,-940
12,-16336,-754
13,-16130,394
14,-16578,64
15,-16328,172
16,-16310,-116
17,-16222,-1548
18,-16354,1458
19,-16420,426
20,-16144,462
21,-16294,-310
22,-16260,188
23,-16218,-140
24,-16262,-606
25,-16428,-950
26,-16432,-216
27,-16270,-1214
28,-16592,-652
29,-16180,812
30,-16274,-272
31,-16522,-1164
32,-16328,664
33,-16538,-270
34,-16256,-126
35,-16334,296
36,-16366,-370
37,-16102,-478
38,-16292,-222
39,-16138,-180
40,-16360,-742
41,-16114,828
42,-16452,-1550
43,-16266,-568
44,-16276,-156
45,-16394,-178
46,-16300,160
47,-15988,260
48,-16384,-272
49,-16302,-252
50,-16470,284
51,-16500,430
52,-16474,336
53,-16230,-424
54,-16510,-1198
55,-16200,-468
56,-16336,-342
57,-16294,266
58,-16454,840
59,-16610,-1254
60,-16294,380
61,-16630,-118
62,-16224,772
63,-16300,336
64,-16480,-520
65,-16110,-978
66,-16142,-756
67,-16326,-826
68,-16362,-790
69,-16250,656
70,-16444,904
71,-16152,352
72,-16430,-172
73,-16498,768
74,-16440,-744
75,-16058,690
76,-16388,-1070
77,-16128,-1196
78,-16278,-796
79,-16244,1486
80,-16152,180
81,-16432,1088
82,-16366,762
83,-16314,-468
84,-16322,460
85,-16016,-1808
86,-16366,-940
87,-16582,310
88,-16288,74
89,-16302,104
90,-16348,-1076
91,-16326,610
92,-16234,490
93,-16208,-234
94,-16374,788
95,-16210,250
96,-16382,-1266
97,-16184,272
98,-16416,-250
99,-16252,-402
100,-16250,1104
101,-16168,-42
102,-16340,810
103,-16538,-126
104,-16336,434
105,-16278,-568
106,-16270,1876
107,-16476,452
108,-16238,-538
109,-16324,-204
110,-16058,-924
111,-16330,482
112,-16332,236
113,-16366,-190
114,-16288,1508
115,-16448,870
116,-16150,-326
117,-16280,-144
118,-16206,284
119,-16540,1274
120,-16358,276
121,-16422,-250
122,-16210,1174
123,-16434,-1180
124,-16158,22
125,-16130,76
126,-16284,-688
127,-16306,-704
128,-16450,-794
129,-16342,-1036
130,-16254,-1138
131,-16286,-238
132,-16346,-810
133,-16218,-132
134,-16368,-774
135,-16214,-702
136,-16110,-1008
137,-16128,542
138,-16568,602
139,-16588,-748
140,-16028,296
141,-16414,-720
142,-16302,938
143,-16176,6
144,-16322,440
145,-16528,322
146,-16818,344
147,-16322,-436
148,-16376,-424
149,-16196,1330
150,-16224,-152
151,-16126,208
152,-16164,520
153,-16092,498
154,-16436,-178
155,-16204,386
156,-16254,200
157,-16332,110
158,-16428,-782
159,-16204,-196
160,-16398,-646
161,-16436,430
162,-16340,50
163,-16376,-2032
164,-16398,-208
165,-16152,-854
166,-16450,808
167,-16434,14
168,-16680,1048
169,-16462,756
170,-16398,-646
171,-16202,54
172,-16306,256
173,-16188,960
174,-16216,122
175,-16508,906
176,-16232,114
177,-16228,-252
178,-16202,-926
179,-16422,-1164
180,-16230,500
181,-16184,162
182,-16164,592
183,-16518,-556
184,-16236,-334
185,-16360,40
186,-16618,48
187,-16260,-36
188,-16260,152
189,-16308,-950
190,-16214,76
191,-16518,-672
192,-16354,-60
193,-16114,-560
194,-16366,102
195,-16376,252
196,-16200,916
197,-16478,1398
198,-16448,-496
199,-16114,-48
200,-16344,-26
201,-16306,262
202,-16156,-416
203,-16458,-1134
204,-16250,624
205,-16224,604
206,-16478,272
207,-16328,1218
208,-16266,320
209,-16564,-440
210,-16498,-648
211,-16290,320
212,-16392,-342
213,-16266,-452
214,-16162,-1492
215,-16252,-512
216,-16212,822
217,-16260,-166
218,-16548,-910
219,-16458,-380
220,-16408,-152
221,-16384,286
222,-16162,-188
223,-16140,6
224,-16246,-1378
225,-16098,148
226,-16394,-196
227,-16156,-528
228,-16380,696
229,-16392,-72
230,-16302,460
231,-16364,1012
232,-16570,1912
233,-16066,-762
234,-16570,1038
235,-16428,-386
236,-16392,-102
237,-16194,-584
238,-16448,120
239,-16388,-182
240,-16368,-1186
241,-16412,-570
242,-16094,-176
243,-16388,592
244,-16338,66
245,-15952,-626
246,-16102,-82
247,-16426,732
248,-16296,-168
249,-16192,-182
250,-16476,960
251,-16002,-1420
252,-16478,-772
253,-16230,-380
254,-16342,-82
255,-16284,-500
256,-16264,-890
257,-16460,-1556
258,-16302,-976
259,-16324,68
260,-16328,346
261,-16114,128
262,-16130,-172
263,-16260,-356
264,-16566,-54
265,-16370,-736
266,-16194,838
267,-16198,330
268,-16428,1228
269,-16328,-1312
270,-16292,-540
271,-16356,108
272,-16230,558
273,-16106,-500
274,-16250,-1060
275,-16244,6
276,-16416,1574
277,-16290,-792
278,-16300,532
279,-16500,76
280,-16516,1056
281,-16116,-514
282,-16128,1176
283,-16266,-132
284,-16112,-44
285,-16240,440
286,-16198,-816
287,-16528,-1130
288,-16308,1190
289,-16206,-1198
290,-16250,378
291,-16136,-812
292,-16414,70
293,-16332,-584
294,-16444,-424
295,-16148,486
296,-16384,276
297,-16532,-480
298,-16538,230
299,-16432,-914
300,-16236,1724
301,-16376,-646
302,-16474,176
303,-16430,1392
304,-16158,222
305,-16360,544
306,-16392,-230
307,-16344,274
308,-16230,228
309,-16410,-626
310,-16096,986
311,-16036,-180
312,-16226,-144
