Temperature 10000
config,energy,magnetism
0,-1623,-44
1,-1651,-112
2,-1457,92
3,-1689,8
4,-1665,-32
5,-1631,40
6,-1371,-10
7,-1453,-122
8,-1627,-14
9,-1693,-20
10,-1631,-90
11,-1691,-14
12,-1725,-120
13,-1629,64
14,-1709,-52
15,-1577,22
16,-1583,86
17,-1601,-94
18,-1615,-30
19,-1597,-190
20,-1711,-94
21,-1549,34
22,-1651,174
23,-1581,-10
24,-1649,36
25,-1585,-160
26,-1493,-42
27,-1495,30
28,-1729,-26
29,-1517,134
30,-1683,-90
31,-1763,-10
32,-1515,8
33,-1609,-78
34,-1543,66
35,-1633,112
36,-1651,84
37,-1683,-120
38,-1729,-44
39,-1823,86
40,-1583,6
41,-1743,48
42,-1713,16
43,-1603,-22
44,-1807,52
45,-1737,54
46,-1595,-10
47,-1823,-98
48,-1555,-98
49,-1675,-102
50,-1763,16
51,-1577,44
52,-1597,-54
53,-1811,58
54,-1557,-112
55,-1547,-60
56,-1625,38
57,-1483,170
58,-1755,-54
59,-1645,-136
60,-1613,-294
61,-1671,-76
62,-1507,-130
63,-1491,-122
64,-1647,-130
65,-1603,-156
66,-1633,-28
67,-1733,458
68,-1679,-22
69,-1645,-152
70,-1435,-34
71,-1641,78
72,-1461,182
73,-1661,140
74,-1831,78
75,-1513,-52
76,-1573,-52
77,-1657,112
78,-1529,82
79,-1663,-14
80,-1565,-110
81,-1517,-40
82,-1481,-8
83,-1757,-118
84,-1629,-46
85,-1581,-154
86,-1761,98
87,-1483,42
88,-1775,70
89,-1645,-56
90,-1517,-120
91,-1683,-20
92,-1541,-36
93,-1711,64
94,-1615,76
95,-1571,-90
96,-1587,-86
97,-1591,20
98,-1553,158
99,-1473,138
100,-1507,134
101,-1723,-52
102,-1541,-26
103,-1845,14
104,-1665,-166
105,-1569,-80
106,-1473,-72
107,-1719,-114
108,-1573,-20
109,-1667,50
110,-1603,302
111,-1595,-108
112,-1659,10
113,-1553,4
114,-1693,-116
115,-1697,20
